Grid count: 109
ModeB, collectively visit all tiles
Player 2 visited (7, 8)
Player 2 visited (7, 7)
Player 4 visited (1, 3)
Player 0 visited (1, 13)
Player 4 visited (2, 3)
Player 1 visited (12, 3)
Player 1 visited (13, 3)
Player 3 visited (12, 8)
Player 3 visited (11, 8)
Player 2 visited (6, 7)
Player 2 visited (6, 8)
Player 4 visited (1, 4)
Player 4 visited (2, 4)
Player 0 visited (1, 12)
Player 1 visited (13, 4)
Player 1 visited (12, 4)
Player 3 visited (12, 7)
Player 2 visited (5, 7)
Player 4 visited (2, 5)
Player 0 visited (1, 11)
Player 1 visited (13, 5)
Player 1 visited (12, 5)
Player 3 visited (12, 6)
Player 2 visited (4, 7)
Player 4 visited (2, 6)
Player 0 visited (1, 10)
Player 1 visited (13, 6)
Player 3 visited (12, 5)
Player 2 visited (3, 7)
Player 0 visited (2, 10)
Player 4 visited (2, 7)
Player 1 visited (13, 7)
Player 4 visited (3, 7)
Player 3 visited (12, 4)
Player 0 visited (3, 10)
Player 1 visited (13, 8)
Player 3 visited (12, 5)
Player 2 visited (2, 7)
Player 2 visited (2, 6)
Player 0 visited (4, 10)
Player 1 visited (12, 8)
Player 1 visited (13, 7)
Player 1 visited (12, 7)
Player 3 visited (12, 6)
Player 4 visited (4, 7)
Player 0 visited (4, 9)
Player 2 visited (2, 5)
Player 1 visited (11, 7)
Player 4 visited (5, 7)
Player 3 visited (12, 7)
Player 4 visited (4, 8)
Player 4 visited (5, 8)
Player 0 visited (4, 8)
Player 2 visited (1, 5)
Player 0 visited (5, 8)
Player 2 visited (2, 4)
Player 2 visited (1, 4)
Player 3 visited (11, 7)
Player 1 visited (10, 7)
Player 4 visited (6, 8)
Player 4 visited (6, 7)
Player 3 visited (12, 8)
Player 3 visited (11, 8)
Player 1 visited (10, 6)
Player 0 visited (6, 8)
Player 2 visited (1, 3)
Player 3 visited (12, 9)
Player 3 visited (11, 9)
Player 4 visited (7, 8)
